Shooter,X,Y,Z,Weapon
sh1ro,759.41,-603.45,-767.97,AK-47
sh1ro,904.00,-521.61,-767.97,AK-47
sh1ro,909.90,-510.01,-767.97,AK-47
sh1ro,908.06,-506.62,-767.97,AK-47
sh1ro,912.05,-502.48,-767.97,AK-47
YEKINDAR,717.02,-254.38,-639.97,AK-47
sh1ro,916.47,-498.48,-767.97,AK-47
sh1ro,918.20,-496.91,-767.97,AK-47
sh1ro,918.20,-496.91,-767.97,AK-47
sh1ro,918.87,-496.27,-767.97,AK-47
sh1ro,822.18,-582.23,-767.97,AK-47
sh1ro,823.67,-581.61,-767.97,AK-47
sh1ro,824.36,-581.33,-767.97,AK-47
KSCERATO,1009.42,-1003.77,-767.97,M4A1
KSCERATO,999.65,-1008.33,-767.97,M4A1
sh1ro,867.55,-564.22,-767.97,AK-47
KSCERATO,991.81,-1011.83,-767.97,M4A1
sh1ro,863.95,-565.11,-767.97,AK-47
KSCERATO,985.11,-1014.38,-767.97,M4A1
sh1ro,860.78,-565.97,-767.97,AK-47
KSCERATO,977.15,-1016.98,-767.97,M4A1
sh1ro,858.89,-566.49,-767.97,AK-47
KSCERATO,970.24,-1018.87,-767.97,M4A1
KSCERATO,968.23,-1019.37,-767.97,M4A1
KSCERATO,965.32,-1020.04,-767.97,M4A1
KSCERATO,960.95,-1020.97,-767.97,M4A1
KSCERATO,958.14,-1021.55,-767.97,M4A1
KSCERATO,1019.28,-978.19,-767.47,Knife
KSCERATO,1099.30,-1036.64,-767.97,Knife
KSCERATO,1138.06,-1316.39,-634.47,Knife
KSCERATO,1136.67,-1460.17,-639.97,Knife
KSCERATO,1142.06,-1561.59,-639.97,Knife
KSCERATO,1149.92,-1658.93,-639.97,Knife
KSCERATO,1165.26,-1759.30,-634.97,Knife
KSCERATO,1196.55,-1862.61,-639.97,Knife
KSCERATO,1351.78,-1946.64,-639.97,Knife
KSCERATO,1483.91,-1993.24,-639.97,Knife
KSCERATO,1530.83,-2073.85,-639.97,Knife
KSCERATO,1546.41,-2174.03,-639.97,Knife
chopper,-1932.69,-1102.94,-415.97,Glock-18
chopper,-1872.68,-1128.82,-415.97,Glock-18
chopper,-1814.70,-1155.41,-415.97,Glock-18
chopper,-1752.84,-1166.18,-415.97,Glock-18
donk,-1570.90,-1100.88,-415.97,Knife
chopper,-1680.83,-1188.68,-415.97,Glock-18
donk,-1469.43,-1105.39,-415.97,Knife
chopper,-1604.89,-1196.87,-415.97,Glock-18
chopper,-1545.71,-1192.67,-415.97,Glock-18
chopper,-1494.56,-1194.08,-415.97,Glock-18
chopper,-1439.26,-1183.99,-415.97,Glock-18
donk,-1216.23,-1108.28,-415.97,Knife
chopper,-1395.50,-1178.39,-415.97,Glock-18
chopper,-1355.20,-1169.60,-415.97,Glock-18
donk,-797.98,-1172.00,-413.97,Smoke Grenade
chopper,-1268.06,-1162.42,-388.38,Smoke Grenade
zont1x,-762.49,-895.86,-415.97,Knife
zont1x,-686.62,-828.36,-415.97,Knife
sh1ro,-767.75,-1263.94,-387.86,Smoke Grenade
FalleN,1177.18,-329.13,-415.97,Knife
zont1x,-538.15,-737.44,-415.97,Knife
FalleN,1134.18,-244.18,-415.47,Knife
